id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,7,2424,9.726952604712919,2.0133530365543835,5.378697487401496e-12,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,Waters 0m,Waters 2m,219,281,-0.07205223206435907,-0.9104432954491728,0.3626792957591358,2,2424,0.05
,,Waters 0m,Thermo 0m,219,97,0.5637682389521341,5.264780101570379,1.526937520868188e-07,,,
,,Waters 0m,Thermo 2m,219,205,0.36595889985125485,4.289074805083556,1.8644939274725658e-05,,,
,,Waters 0m,TECAN 0m,219,98,0.021245335613746086,0.19910598185537326,0.8421965408444394,,,
,,Waters 0m,TECAN 2m,219,149,0.0477193217029539,0.511800601436663,0.6088371901495688,,,
,,Waters 0m,ProtiFi 0m,219,626,0.08299968338381092,1.2041277163672723,0.2286577836091268,,,
,,Waters 0m,ProtiFi 2m,219,757,-0.00014324886823313676,-0.0021264321778376944,0.9983035288499631,,,
,,Waters 2m,Thermo 0m,281,97,0.6358204710164932,6.149543548984348,9.061051908787476e-10,,,
,,Waters 2m,Thermo 2m,281,205,0.4380111319156139,5.431407050676767,6.148352738044593e-08,,,
,,Waters 2m,TECAN 0m,281,98,0.09329756767810515,0.9057996784354166,0.36513191535629463,,,
,,Waters 2m,TECAN 2m,281,149,0.11977155376731297,1.3461113860223681,0.1783924683665763,,,
,,Waters 2m,ProtiFi 0m,281,626,0.15505191544816999,2.4593994212542722,0.01398634827147105,,,
,,Waters 2m,ProtiFi 2m,281,757,0.07190898319612593,1.1724675143555305,0.24112461912345484,,,
,,Thermo 0m,Thermo 2m,97,205,-0.19780933910087928,-1.8281901549859376,0.06764385924032412,,,
,,Thermo 0m,TECAN 0m,97,98,-0.542522903338388,-4.314345530977812,1.6649336042062757e-05,,,
,,Thermo 0m,TECAN 2m,97,149,-0.5160489172491802,-4.505236217391272,6.944438856626434e-06,,,
,,Thermo 0m,ProtiFi 0m,97,626,-0.4807685555683232,-5.018283448179112,5.591812219929437e-07,,,
,,Thermo 0m,ProtiFi 2m,97,757,-0.5639114878203673,-5.955675972691839,2.966369150314563e-09,,,
,,Thermo 2m,TECAN 0m,205,98,-0.34471356423750876,-3.1969973392372006,0.0014065393987494623,,,
,,Thermo 2m,TECAN 2m,205,149,-0.31823957814830095,-3.3669593382841687,0.0007718811064998388,,,
,,Thermo 2m,ProtiFi 0m,205,626,-0.28295921646744393,-4.005001446080314,6.388332134865671e-05,,,
,,Thermo 2m,ProtiFi 2m,205,757,-0.366102148719488,-5.296083940706809,1.2896221490699133e-07,,,
,,TECAN 0m,TECAN 2m,98,149,0.026473986089207813,0.23184208803135858,0.816680235622973,,,
,,TECAN 0m,ProtiFi 0m,98,626,0.06175434777006483,0.6474611410805925,0.5173948482237214,,,
,,TECAN 0m,ProtiFi 2m,98,757,-0.021388584481979223,-0.22692127312691368,0.8205040947619926,,,
,,TECAN 2m,ProtiFi 0m,149,626,0.03528036168085702,0.4408366830783846,0.6593705467407514,,,
,,TECAN 2m,ProtiFi 2m,149,757,-0.047862570571187035,-0.6082585783983759,0.5430729760917146,,,
,,ProtiFi 0m,ProtiFi 2m,626,757,-0.08314293225204406,-1.752930110352314,0.07974040925318704,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,Waters 0m,Waters 2m,219,281,-0.07205223206435907,-0.9104432954491728,0.9889444520220861,2,2424,0.05,False
,,Waters 0m,Thermo 0m,219,97,0.5637682389521341,5.264780101570379,3.6646436150089556e-06,,,,True
,,Waters 0m,Thermo 2m,219,205,0.36595889985125485,4.289074805083556,0.0003728327424684652,,,,True
,,Waters 0m,TECAN 0m,219,98,0.021245335613746086,0.19910598185537326,0.9988706276223934,,,,False
,,Waters 0m,TECAN 2m,219,149,0.0477193217029539,0.511800601436663,0.9970573701964086,,,,False
,,Waters 0m,ProtiFi 0m,219,626,0.08299968338381092,1.2041277163672723,0.955642688360716,,,,False
,,Waters 0m,ProtiFi 2m,219,757,-0.00014324886823313676,-0.0021264321778376944,0.9988706276223934,,,,False
,,Waters 2m,Thermo 0m,281,97,0.6358204710164932,6.149543548984348,2.5370945011538026e-08,,,,True
,,Waters 2m,Thermo 2m,281,205,0.4380111319156139,5.431407050676767,1.5985704833187953e-06,,,,True
,,Waters 2m,TECAN 0m,281,98,0.09329756767810515,0.9057996784354166,0.9889444520220861,,,,False
,,Waters 2m,TECAN 2m,281,149,0.11977155376731297,1.3461113860223681,0.9222612858365231,,,,False
,,Waters 2m,ProtiFi 0m,281,626,0.15505191544816999,2.4593994212542722,0.2017722031386966,,,,False
,,Waters 2m,ProtiFi 2m,281,757,0.07190898319612593,1.1724675143555305,0.955642688360716,,,,False
,,Thermo 0m,Thermo 2m,97,205,-0.19780933910087928,-1.8281901549859376,0.6502743119217742,,,,False
,,Thermo 0m,TECAN 0m,97,98,-0.542522903338388,-4.314345530977812,0.00034957785093903126,,,,True
,,Thermo 0m,TECAN 2m,97,149,-0.5160489172491802,-4.505236217391272,0.0001527665153331359,,,,True
,,Thermo 0m,ProtiFi 0m,97,626,-0.4807685555683232,-5.018283448179112,1.2861088997229153e-05,,,,True
,,Thermo 0m,ProtiFi 2m,97,757,-0.5639114878203673,-5.955675972691839,8.009196394986873e-08,,,,True
,,Thermo 2m,TECAN 0m,205,98,-0.34471356423750876,-3.1969973392372006,0.02364399666821726,,,,True
,,Thermo 2m,TECAN 2m,205,149,-0.31823957814830095,-3.3669593382841687,0.013803076633271738,,,,True
,,Thermo 2m,ProtiFi 0m,205,626,-0.28295921646744393,-4.005001446080314,0.001213085493725008,,,,True
,,Thermo 2m,ProtiFi 2m,205,757,-0.366102148719488,-5.296083940706809,3.2240503833325107e-06,,,,True
,,TECAN 0m,TECAN 2m,98,149,0.026473986089207813,0.23184208803135858,0.9988706276223934,,,,False
,,TECAN 0m,ProtiFi 0m,98,626,0.06175434777006483,0.6474611410805925,0.9970573701964086,,,,False
,,TECAN 0m,ProtiFi 2m,98,757,-0.021388584481979223,-0.22692127312691368,0.9988706276223934,,,,False
,,TECAN 2m,ProtiFi 0m,149,626,0.03528036168085702,0.4408366830783846,0.9970573701964086,,,,False
,,TECAN 2m,ProtiFi 2m,149,757,-0.047862570571187035,-0.6082585783983759,0.9970573701964086,,,,False
,,ProtiFi 0m,ProtiFi 2m,626,757,-0.08314293225204406,-1.752930110352314,0.687575609157379,,,,False


