id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,7,1288,3.5006626865388455,2.016675717267159,0.0010001712401938034,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,Waters 0m,Waters 2m,104,145,-0.010743199381900936,-0.09816646491986565,0.9218153850930169,2,1288,0.05
,,Waters 0m,Thermo 0m,104,52,0.3969154131532191,2.7439900043053007,0.006154003807572694,,,
,,Waters 0m,Thermo 2m,104,109,0.41929651170446025,3.591615896353174,0.00034100404346637525,,,
,,Waters 0m,TECAN 0m,104,33,0.15858946800561036,0.9320006539461633,0.35151085127284754,,,
,,Waters 0m,TECAN 2m,104,69,0.18102786081961408,1.3689642338482162,0.17124913786044593,,,
,,Waters 0m,ProtiFi 0m,104,333,0.2101343659017152,2.1964618807529037,0.028236597973071875,,,
,,Waters 0m,ProtiFi 2m,104,451,0.1599747449949298,1.7267855048479328,0.08444596075870936,,,
,,Waters 2m,Thermo 0m,145,52,0.40765861253512004,2.961267912062058,0.0031198799659279963,,,
,,Waters 2m,Thermo 2m,145,109,0.4300397110863612,3.98306571764173,7.183893300610755e-05,,,
,,Waters 2m,TECAN 0m,145,33,0.1693326673875113,1.0308613057123783,0.3027993961107436,,,
,,Waters 2m,TECAN 2m,145,69,0.19177106020151502,1.539618950037494,0.12389888786523362,,,
,,Waters 2m,ProtiFi 0m,145,333,0.22087756528361613,2.6065874195208294,0.009250506513888368,,,
,,Waters 2m,ProtiFi 2m,145,451,0.17071794437683074,2.0996979960858,0.03594955873852346,,,
,,Thermo 0m,Thermo 2m,52,109,0.022381098551241152,0.15592361717737918,0.876117662703072,,,
,,Thermo 0m,TECAN 0m,52,33,-0.23832594514760874,-1.2573292581146098,0.20886236671304537,,,
,,Thermo 0m,TECAN 2m,52,69,-0.21588755233360502,-1.3803513785092827,0.16771799429755196,,,
,,Thermo 0m,ProtiFi 0m,52,333,-0.1867810472515039,-1.470803818530914,0.14158843004997568,,,
,,Thermo 0m,ProtiFi 2m,52,451,-0.2369406681582893,-1.8996521252895626,0.057701983481525554,,,
,,Thermo 2m,TECAN 0m,109,33,-0.2607070436988499,-1.540661856465196,0.12364473500166917,,,
,,Thermo 2m,TECAN 2m,109,69,-0.23826865088484617,-1.8185415061345642,0.06921356799823086,,,
,,Thermo 2m,ProtiFi 0m,109,333,-0.20916214580274506,-2.2255422248087338,0.026217439074224025,,,
,,Thermo 2m,ProtiFi 2m,109,451,-0.25932176670953044,-2.8528241148408324,0.004402529765597629,,,
,,TECAN 0m,TECAN 2m,33,69,0.022438392814003727,0.12448060628706074,0.9009541787819355,,,
,,TECAN 0m,ProtiFi 0m,33,333,0.051544897896104835,0.3316291871961392,0.7402232290171038,,,
,,TECAN 0m,ProtiFi 2m,33,451,0.0013852769893194505,0.009019608747584283,0.9928048877905997,,,
,,TECAN 2m,ProtiFi 0m,69,333,0.02910650508210111,0.2583760269107671,0.7961579965604932,,,
,,TECAN 2m,ProtiFi 2m,69,451,-0.021053115824684276,-0.19123000793855657,0.8483755338593006,,,
,,ProtiFi 0m,ProtiFi 2m,333,451,-0.050159620906785385,-0.8151454724847244,0.4151397460887123,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,Waters 0m,Waters 2m,104,145,-0.010743199381900936,-0.09816646491986565,0.9999282598840018,2,1288,0.05,False
,,Waters 0m,Thermo 0m,104,52,0.3969154131532191,2.7439900043053007,0.13770033169591112,,,,False
,,Waters 0m,Thermo 2m,104,109,0.41929651170446025,3.591615896353174,0.009166409323417835,,,,True
,,Waters 0m,TECAN 0m,104,33,0.15858946800561036,0.9320006539461633,0.9797173629003426,,,,False
,,Waters 0m,TECAN 2m,104,69,0.18102786081961408,1.3689642338482162,0.908057445409867,,,,False
,,Waters 0m,ProtiFi 0m,104,333,0.2101343659017152,2.1964618807529037,0.4520116611803342,,,,False
,,Waters 0m,ProtiFi 2m,104,451,0.1599747449949298,1.7267855048479328,0.7768341636057294,,,,False
,,Waters 2m,Thermo 0m,145,52,0.40765861253512004,2.961267912062058,0.07803100168893495,,,,False
,,Waters 2m,Thermo 2m,145,109,0.4300397110863612,3.98306571764173,0.0020095405435909264,,,,True
,,Waters 2m,TECAN 0m,145,33,0.1693326673875113,1.0308613057123783,0.9728620182495435,,,,False
,,Waters 2m,TECAN 2m,145,69,0.19177106020151502,1.539618950037494,0.8789727395457105,,,,False
,,Waters 2m,ProtiFi 0m,145,333,0.22087756528361613,2.6065874195208294,0.19245123656675667,,,,False
,,Waters 2m,ProtiFi 2m,145,451,0.17071794437683074,2.0996979960858,0.5191660157819233,,,,False
,,Thermo 0m,Thermo 2m,52,109,0.022381098551241152,0.15592361717737918,0.9999282598840018,,,,False
,,Thermo 0m,TECAN 0m,52,33,-0.23832594514760874,-1.2573292581146098,0.9240071939013097,,,,False
,,Thermo 0m,TECAN 2m,52,69,-0.21588755233360502,-1.3803513785092827,0.908057445409867,,,,False
,,Thermo 0m,ProtiFi 0m,52,333,-0.1867810472515039,-1.470803818530914,0.882039154750341,,,,False
,,Thermo 0m,ProtiFi 2m,52,451,-0.2369406681582893,-1.8996521252895626,0.6767211726120161,,,,False
,,Thermo 2m,TECAN 0m,109,33,-0.2607070436988499,-1.540661856465196,0.8789727395457105,,,,False
,,Thermo 2m,TECAN 2m,109,69,-0.23826865088484617,-1.8185415061345642,0.7250202000107087,,,,False
,,Thermo 2m,ProtiFi 0m,109,333,-0.20916214580274506,-2.2255422248087338,0.4426040114214702,,,,False
,,Thermo 2m,ProtiFi 2m,109,451,-0.25932176670953044,-2.8528241148408324,0.10444015931235573,,,,False
,,TECAN 0m,TECAN 2m,33,69,0.022438392814003727,0.12448060628706074,0.9999282598840018,,,,False
,,TECAN 0m,ProtiFi 0m,33,333,0.051544897896104835,0.3316291871961392,0.9999201633694403,,,,False
,,TECAN 0m,ProtiFi 2m,33,451,0.0013852769893194505,0.009019608747584283,0.9999282598840018,,,,False
,,TECAN 2m,ProtiFi 0m,69,333,0.02910650508210111,0.2583760269107671,0.9999282598840018,,,,False
,,TECAN 2m,ProtiFi 2m,69,451,-0.021053115824684276,-0.19123000793855657,0.9999282598840018,,,,False
,,ProtiFi 0m,ProtiFi 2m,333,451,-0.050159620906785385,-0.8151454724847244,0.9863095769757372,,,,False


